16-01-2019;21-22;228.85
16-01-2019;22-23;224.23
16-01-2019;23-00;183.41
17-01-2019;00-01;209.63
17-01-2019;01-02;206.72
17-01-2019;02-03;205.08
17-01-2019;03-04;204.64
17-01-2019;04-05;207.92
17-01-2019;05-06;205.76
17-01-2019;06-07;237.94
17-01-2019;07-08;297.98
17-01-2019;08-09;334.86
17-01-2019;09-10;316.53
17-01-2019;10-11;297.09
17-01-2019;11-12;290.46
17-01-2019;12-13;258.87
17-01-2019;13-14;242.41
17-01-2019;14-15;241.21
17-01-2019;15-16;246.65
17-01-2019;16-17;283.38
17-01-2019;17-18;289.79
17-01-2019;18-19;286.36
17-01-2019;19-20;255.22
17-01-2019;20-21;232.42
17-01-2019;21-22;227.73
17-01-2019;22-23;222.89
17-01-2019;23-00;218.49
18-01-2019;00-01;216.88
18-01-2019;01-02;213.01
18-01-2019;02-03;211.96
18-01-2019;03-04;211.07
18-01-2019;04-05;214.12
18-01-2019;05-06;222.84
18-01-2019;06-07;232.37
18-01-2019;07-08;319.73
18-01-2019;08-09;313.92
18-01-2019;09-10;312.81
18-01-2019;10-11;304.69
18-01-2019;11-12;293
18-01-2019;12-13;278.62
18-01-2019;13-14;266.78
18-01-2019;14-15;259.56
18-01-2019;15-16;273.56
18-01-2019;16-17;293.15
18-01-2019;17-18;313.92
18-01-2019;18-19;313.11
18-01-2019;19-20;309.01
18-01-2019;20-21;289.94
18-01-2019;21-22;255.46
18-01-2019;22-23;242.57
18-01-2019;23-00;226.79
19-01-2019;00-01;223.4
19-01-2019;01-02;223.17
19-01-2019;02-03;219.6
19-01-2019;03-04;220.12
19-01-2019;04-05;223.55
19-01-2019;05-06;236.5
19-01-2019;06-07;298.01
19-01-2019;07-08;364.59
19-01-2019;08-09;386.78
19-01-2019;09-10;375.01
19-01-2019;10-11;369.2
19-01-2019;11-12;349.1
19-01-2019;12-13;320.13
19-01-2019;13-14;310.3
19-01-2019;14-15;294.07
19-01-2019;15-16;311.12
19-01-2019;16-17;329.88
19-01-2019;17-18;369.13
19-01-2019;18-19;370.39
19-01-2019;19-20;333.53
19-01-2019;20-21;289.15
19-01-2019;21-22;275.08
19-01-2019;22-23;266.89
19-01-2019;23-00;242.83
20-01-2019;00-01;221.24
20-01-2019;01-02;207.31
20-01-2019;02-03;211.26
20-01-2019;03-04;216.02
20-01-2019;04-05;215.8
20-01-2019;05-06;217.66
20-01-2019;06-07;221.01
20-01-2019;07-08;229.72
20-01-2019;08-09;246.26
20-01-2019;09-10;282.97
20-01-2019;10-11;310.22
20-01-2019;11-12;310.37
20-01-2019;12-13;312.23
20-01-2019;13-14;308.66
20-01-2019;14-15;290.41
20-01-2019;15-16;297.93
20-01-2019;16-17;311.26
20-01-2019;17-18;332.71
20-01-2019;18-19;367.71
20-01-2019;19-20;327.5
20-01-2019;20-21;291.6
20-01-2019;21-22;270.83
20-01-2019;22-23;270.53
20-01-2019;23-00;243.28
21-01-2019;00-01;237.28
21-01-2019;01-02;226.34
21-01-2019;02-03;217.63
21-01-2019;03-04;213.69
21-01-2019;04-05;214.36
21-01-2019;05-06;216.22
21-01-2019;06-07;219.42
21-01-2019;07-08;225.6
21-01-2019;08-09;241.82
21-01-2019;09-10;262.74
21-01-2019;10-11;289.38
21-01-2019;11-12;304.64
21-01-2019;12-13;304.64
21-01-2019;13-14;281.12
21-01-2019;14-15;251.87
21-01-2019;15-16;257.68
21-01-2019;16-17;283.13
21-01-2019;17-18;319.53
